"Timestamp","Please list your favorite Vimperator features","Anything else to add?"
"2017/10/24 12:19:40 PM GMT+2","- hjkl navigation,
- link following (f),
- search on the page (with hlsearch that stopped working some time ago :/),
- moving between tabs (gt, Gt),
- opening new tabs/windows (t, w)
- the ""IGNORE"" mode useful on websites with their own mappings,","Thanks for the great work!"
"2017/10/25 6:52:35 AM GMT+2","Keyboard navigation F
Keyboard only browser controll",""
"2017/10/25 8:31:03 AM GMT+2","Easy navigation and searching without using your mouse.","I am sad to see you go. :'("
"2017/10/25 11:57:51 AM GMT+2","user remappable keys to arbitrary commands, moving around page, link hinting mode (incl. extended), insert/passthrough mode, find in page mode, history navigation, tab switching / navigation (:buffer style), opening/closing URLs / tabs / windows, hide Firefox GUI, external editor, quickmarks",""
"2017/10/25 1:46:12 PM GMT+2","<C-b>/<C-f>/<C-e>/<C-y>, jump commands, gt/gT","Thank you!"
"2017/10/25 2:48:20 PM GMT+2","run javascript like emacs runs elisp",""
"2017/10/25 6:27:08 PM GMT+2","vim like mouse less operation","vim like mouse less operation"
"2017/10/26 5:48:23 AM GMT+2","Use keyboard to quickly open links in current or new tab.","Patterns to selectively disable vimperator on web sites with lots of built in short cuts (e.g. gmail) also essential."
"2017/10/26 10:47:43 AM GMT+2","The vim-like "":""-menu at the bottom",""
"2017/10/26 10:50:19 AM GMT+2","the follow-link key","Thank you so much for this beautiful and handy plugin!!!!!"
"2017/10/26 5:47:05 PM GMT+2","navigation,
tab open,
plugins,
copy/paste, 
link jump, 
0 mouse, 
settings over command line,
history,
buffers handler",""
"2017/10/26 10:13:08 PM GMT+2","fast navigation with keybord",""
"2017/10/27 4:11:40 AM GMT+2","macro, !cmd",""
"2017/10/27 1:21:12 PM GMT+2","Typing the link name to follow it after hitting `F`","💔"
"2017/10/27 10:39:03 PM GMT+2","Possibility to write own shortcuts and customizations.","terrible loss.. "
"2017/10/28 2:16:35 PM GMT+2","gui=nonavigation",""
"2017/10/28 5:38:02 PM GMT+2","Minimalistic UI (with no address bar) + convenient keys",":("
"2017/10/29 12:02:42 PM GMT+2","Mouseless browsing, JavaScript functions.",""
"2017/10/30 4:20:09 AM GMT+2","- minimalistic ui
- command line for opening things
- link follow","Thanks for this great addon which made firefox so much better to use."
"2017/10/30 10:33:54 AM GMT+2","navigating without mouse","terminal integration
"
"2017/10/30 3:27:04 PM GMT+2","minimize GUI elements, simple commands",""
"2017/10/30 3:32:42 PM GMT+2","link hints, link address hints, paging, marks","Thank you 1000 times for your work"
"2017/10/31 10:05:22 AM GMT+2","Non-Gui, Macros (usefull for testing), Vim-bindings, just everything actually.","Really big thank for everbody who helped to create the best browsing experience i ever had!"
"2017/11/01 11:22:47 AM GMT+2","repeat",""
"2017/11/01 10:14:32 PM GMT+2","RIP Vimperator! The depth of customization with the vimperator rc file is great","the default configuration could look a little prettier (no harsh yellow) and having the -Vimperator at the top was a little annoying."
"2017/11/02 8:39:22 AM GMT+2","'f' for show links , '/' for searching",""
"2017/11/02 11:12:06 AM GMT+2","In order: 1: the great shortcuts; 2 the minimal interface (mainly from the older versions) 3: the command mode","Thanks for all the hard work"
"2017/11/02 12:10:20 PM GMT+2","Undo close tab, hiding the location bar, vimperatorrc configuration file",""
"2017/11/02 5:30:00 PM GMT+2","In prioritized order: bookmark keywords support; ex-like commands; vim-like keybinds; [f]ollow links; .vimperatorrc with custom keybinds and scripts; ",""
"2017/11/04 2:00:52 PM GMT+2","t, o, d, u, /, f, F, n, :qa, ]] and [[ and keeping my hands off mouse.","So, yeah, I'm not a power user, it seems. I use a very limited set of features, and I'm not even that good with mouseless navigation as I too easily just grab the pointer. The properties I've accustomed to use work flamlessy in Vimperator. Simple navigation with autocomplete, and that covers the absolute majority of my browsing needs. Based on this, I (obviously) suggest providing even a minimum set of possibilities in hope it will push people wanting more to do something. Thank you for the marvellous work and making my life better for years!"
"2017/11/04 2:52:39 PM GMT+2","Fabulous navigation between tabs, mouseless usage.",""
"2017/11/04 9:16:14 PM GMT+2","Buffers and switching them by keywords, following hints, local marks to jump between scroll positions, everything else",""
"2017/11/05 4:11:48 PM GMT+2","Vi-style navigation, Ctrl-H and Ctrl-J when editing, commands to control options, using vim itself for editing.","The biggest current *problem* with Vimperator is ""d"" accidentally getting triggered.  For example, ""ffind"" where the ""find"" button already gets matched with ""fin"" or ""7d"" accidentally closing 7 tabs."
"2017/11/06 12:23:47 AM GMT+2","Reduced GUI, f, /, d, D, a, r, R, o, t, gg, command autocomplete, ""tab"" rather than arrows for command suggestion scrolling","Thanks for the work!"
"2017/11/06 9:45:46 AM GMT+2","Mouseless navigation, Command-Mode, Tab-Commands",""
"2017/11/07 2:36:14 PM GMT+2","everything","support for webextensions"
"2017/11/07 3:19:35 PM GMT+2","search, links, caret, navigation, bookmarking","thanks for the great work. "
"2017/11/08 9:43:40 AM GMT+2","Ability to make commands emacs-like, ability to perform basic browsing features (forward, back, clicking on links, entering text in boxes) without using mouse.",""
"2017/11/08 4:30:55 PM GMT+2","Hints mode, command line mode, UI choices, stability, consistency, choice of defualt keybindings (U for unclose tab).",":("
"2017/11/08 7:33:13 PM GMT+2","Popup link shortcuts, configurable ones so we can pick the characters they use","Will miss vimperator"
"2017/11/09 9:57:58 PM GMT+2","commandline with completion",""
"2017/11/10 5:17:17 AM GMT+2","gui=none, hints, buffer management/tab search, open,tabopen then search","Sad to see this happen, but not confident at web development stuff."
"2017/11/10 2:41:04 PM GMT+2","able to use in all domain",""
"2017/11/10 5:54:52 PM GMT+2","j, k, T, f,  y,  p","love vimperator"
"2017/11/11 2:07:04 PM GMT+2","Inside page navigation (Up, Down, searches) and tabs management (detach, open, close...)",""
"2017/11/12 1:10:38 AM GMT+2","EX bar (including themability of said bar)
default keymap is far superior to that of similar addons
bookmark commands
How (unlike similar extensions) new tab and open in current tab commands have a list of suggestions.
Ability to interact with about pages","I honestly believe that Mozilla is making a colossal mistake with Firefox 57. I for one will no longer be using Firefox in the near future.
I don't see the point anymore, the old extension system was the one reason I had for continuing to use Firefox."
"2017/11/12 11:11:25 AM GMT+2","Vim like movement, logical UI",""
"2017/11/12 3:55:13 PM GMT+2","Mouselessness, power and speed.","You'll be missed. :|"
"2017/11/13 5:56:35 AM GMT+2",""":map"", "":command!"", qmark, plugins",""
"2017/11/13 3:02:04 PM GMT+2",":set gui=nonavigation ; paste-and-go with p/P ; shortcuts (o, O, t, T, gt/gT, d, u, gh, gf)",""
"2017/11/13 6:38:35 PM GMT+2","console
custom js :map
fast goto by typing
gui tweaks",""
"2017/11/14 1:52:02 PM GMT+2","open [addr], tabopen [addr], winopen [addr], hint-mode, hjkl-scrolling. All of these working no matter which page you we're on. Simplified user interface without any toolbars except the command line with address at the bottom.",""
"2017/11/14 3:08:38 PM GMT+2","Keymaps to run CSS or Javascript, such as removing a page's CSS via `nmap s :emenu View.Page Style.No Style<CR>`.","Tons, such as keyboard navigation. I'm sure enough people have mentioned that already though."
